id		rate
01001	5.1
01003	4.9
01005	8.6
01007	6.2
01009	5.1
01011	7.1
01013	6.7
01015	6.1
01017	5.0
01019	5.0
01021	5.2
01023	7.9
01025	11.1
01027	5.9
01029	5.5
01031	5.6
01033	6.5
01035	7.7
01037	5.7
01039	6.7
01041	5.7
01043	4.8
01045	5.6
01047	9.5
01049	5.7
01051	4.7
01053	6.3
01055	5.7
01057	6.6
01059	5.5
01061	5.4
01063	9.3
01065	7.6
01067	6.3
01069	5.6
01071	5.9
01073	5.5
01075	5.2
01077	6.0
01079	6.4
01081	4.9
01083	5.0
01085	10.3
01087	7.2
01089	4.9
01091	6.9
01093	6.1
01095	5.1
01097	6.5
01099	8.6
01101	5.6
01103	5.2
01105	10.9
01107	6.7
01109	6.4
01111	5.7
01113	5.3
01115	5.0
01117	4.2
01119	7.3
01121	6.4
01123	5.1
01125	5.5
01127	7.2
01129	8.3
01131	13.9
01133	7.0
02013	1.9
02016	2.2
02020	5.0
02050	14.1
02060	5.6
02068	3.2
02070	8.1
02090	4.9
02100	5.9
02105	7.3
02110	3.6
02122	6.9
02130	4.4
02150	4.8
02158	21.7
02164	9.2
02170	7.4
02180	13.6
02185	6.9
02188	16.5
02195	5.7
02198	9.4
02220	3.0
02230	3.0
02240	8.7
02261	5.4
02275	5.4
02282	5.8
02290	16.4
04001	11.8
04003	6.5
04005	6.4
04007	7.6
04009	7.3
04011	7.7
04012	6.6
04013	4.9
04015	7.0
04017	8.5
04019	5.4
04021	5.9
04023	13.0
04025	5.0
04027	24.4
05001	3.2
05003	6.3
05005	4.1
05007	2.7
05009	3.3
05011	5.9
05013	5.1
05015	2.8
05017	6.0
05019	4.5
05021	5.0
05023	5.7
05025	4.4
05027	5.7
05029	5.9
05031	3.1
05033	3.7
05035	4.4
05037	3.9
05039	5.0
05041	5.1
05043	5.7
05045	3.7
05047	3.9
05049	3.9
05051	4.0
05053	3.2
05055	4.0
05057	3.7
05059	3.6
05061	3.4
05063	5.0
05065	5.3
05067	5.9
05069	5.9
05071	4.8
05073	6.2
05075	4.5
05077	4.5
05079	4.9
05081	5.1
05083	4.4
05085	3.2
05087	3.0
05089	3.8
05091	4.3
05093	7.1
05095	4.5
05097	4.6
05099	3.7
05101	3.6
